"name","html_url","description","stars","forks","language","owner","pushed_at","size_kb","is_fork"
"600001240-gke-argo-sample-app","https://github.aexp.com/amex-archives/600001240-gke-argo-sample-app","just a sample app for learning how to use GKE","0","0","HCL","amex-archives","2026-03-03T09:57:32Z","82","True"
"600001240_payflow-db","https://github.aexp.com/amex-archives/600001240_payflow-db",,"0","0",,"amex-archives","2025-03-13T11:39:26Z","11","False"
"600001578-third-party-security-docs","https://github.aexp.com/amex-archives/600001578-third-party-security-docs","Docs for third party security","1","0","JavaScript","amex-archives","2026-08-18T17:08:01Z","12649","False"
"600001602-gitops","https://github.aexp.com/amex-archives/600001602-gitops",,"0","0","HTML","amex-archives","2025-08-04T22:48:49Z","304","False"
"600001688-securecube-aws-elevated-roles","https://github.aexp.com/amex-archives/600001688-securecube-aws-elevated-roles",,"1","0",,"amex-archives","2025-09-25T21:06:05Z","729","False"
"600002602-dp-dining-admin","https://github.aexp.com/amex-archives/600002602-dp-dining-admin","Hosts Admin APIs to manage dining genius component","0","0","Python","amex-archives","2026-05-23T00:02:14Z","4845","False"
"600002635-bootcamp-demorepo","https://github.aexp.com/amex-archives/600002635-bootcamp-demorepo","Demo repository for hands on exercises during developer bootcamp","4","944","JavaScript","amex-archives","2026-07-22T16:05:13Z","26174","False"
"600002781-spring-gcp","https://github.aexp.com/amex-archives/600002781-spring-gcp",,"0","0","Mustache","amex-archives","2026-03-14T01:41:22Z","306","False"
"600003113-api-reporting-service","https://github.aexp.com/amex-archives/600003113-api-reporting-service",,"0","0","Python","amex-archives","2026-07-09T05:59:12Z","360","False"
"600003113-compute-infra-provisioning","https://github.aexp.com/amex-archives/600003113-compute-infra-provisioning","compute infra provisioning","0","0","Shell","amex-archives","2026-07-15T13:05:27Z","976","False"
"600003113-ova-template-mgmt","https://github.aexp.com/amex-archives/600003113-ova-template-mgmt",,"0","0",,"amex-archives","2026-06-18T07:52:54Z","163","False"
"600005025-grc-aiml-orchestrator","https://github.aexp.com/amex-archives/600005025-grc-aiml-orchestrator",,"0","0","Python","amex-archives","2026-07-20T18:50:52Z","783","False"
"AbandonedProperty","https://github.aexp.com/amex-archives/AbandonedProperty","This automation is a ledger adjustment request for US and GDC markets. This will enable us to apply adjustment to move outstanding credit balances of commercial accounts to abandoned property ledgers","0","1","Java","amex-archives","2026-04-10T07:37:35Z","191","False"
"abstrackt_abstrackt","https://github.aexp.com/amex-archives/abstrackt_abstrackt","A modular HTTP API web framework for Node.js, written in TypeScript","3","7","TypeScript","amex-archives","2026-06-17T15:28:28Z","6677","False"
"accessarmr-poc","https://github.aexp.com/amex-archives/accessarmr-poc",,"1","0","Python","amex-archives","2026-07-22T16:09:16Z","28513","False"
"accomplishments-hub-backend","https://github.aexp.com/amex-archives/accomplishments-hub-backend",,"1","0","Kotlin","amex-archives","2026-07-17T19:54:37Z","610","False"
"accomplishments-hub-root","https://github.aexp.com/amex-archives/accomplishments-hub-root",,"1","0","JavaScript","amex-archives","2026-07-30T15:47:41Z","5073","False"
"account-enrollment-audit","https://github.aexp.com/amex-archives/account-enrollment-audit","Audit service for account enrollment experience","0","0","Java","amex-archives","2026-07-06T18:33:36Z","352","False"
"ace-ClicCase","https://github.aexp.com/amex-archives/ace-ClicCase",,"0","1","Java","amex-archives","2026-04-29T16:24:13Z","227","False"
"ace-ecosystem-verticle-kafka-subscriber","https://github.aexp.com/amex-archives/ace-ecosystem-verticle-kafka-subscriber",,"0","0","Java","amex-archives","2025-11-10T18:42:10Z","103","False"
"ace-framework_ace-admin-services","https://github.aexp.com/amex-archives/ace-framework_ace-admin-services",,"0","1","Java","amex-archives","2024-10-30T16:27:08Z","423","False"
"ace-platform_ace-pmt-rally-grow-hack-bundle","https://github.aexp.com/amex-archives/ace-platform_ace-pmt-rally-grow-hack-bundle",,"0","0","Java","amex-archives","2024-11-04T07:07:42Z","140","False"
"ace-process-notes","https://github.aexp.com/amex-archives/ace-process-notes","This module is used by CCPs, for adding notes to an existing ACE process instance, and also to view activity history of the process instance..","0","3","JavaScript","amex-archives","2026-08-03T10:55:12Z","1664","False"
"aces-AddCaseNotes","https://github.aexp.com/amex-archives/aces-AddCaseNotes",,"0","0","Java","amex-archives","2026-03-02T17:05:27Z","626","False"
"aces-automation-coe","https://github.aexp.com/amex-archives/aces-automation-coe",,"0","3","Java","amex-archives","2026-08-24T09:54:51Z","525","False"
"aces-cbr-reactive-us","https://github.aexp.com/amex-archives/aces-cbr-reactive-us",,"0","3","Java","amex-archives","2026-07-06T16:38:08Z","2901","False"
"aces-ClicPendCaseMod","https://github.aexp.com/amex-archives/aces-ClicPendCaseMod","This Mod can be used to pend an Open CLIC case.","1","0","Java","amex-archives","2026-02-26T07:15:41Z","1092","False"
"aces-core-workspaces","https://github.aexp.com/amex-archives/aces-core-workspaces",,"0","8","TypeScript","amex-archives","2026-07-31T08:45:51Z","6494","False"
"aces-core-workspaces-forms","https://github.aexp.com/amex-archives/aces-core-workspaces-forms",,"0","0","JavaScript","amex-archives","2026-06-17T14:14:38Z","510","False"
"aces-core-workspaces-quality-track","https://github.aexp.com/amex-archives/aces-core-workspaces-quality-track",,"0","0","TypeScript","amex-archives","2026-07-30T09:15:07Z","1254","False"
"aces-core-workspaces-request-list","https://github.aexp.com/amex-archives/aces-core-workspaces-request-list",,"0","0","TypeScript","amex-archives","2026-07-31T09:47:55Z","688","False"
"aces-core-workspaces-root","https://github.aexp.com/amex-archives/aces-core-workspaces-root",,"0","5","JavaScript","amex-archives","2026-07-15T06:48:33Z","1799","False"
"aces-GARAccountStatusMod","https://github.aexp.com/amex-archives/aces-GARAccountStatusMod","Get main account and related account status","1","0","Java","amex-archives","2025-06-27T16:38:13Z","81","False"
"aces-GetDemographicsMod","https://github.aexp.com/amex-archives/aces-GetDemographicsMod",,"0","1","Java","amex-archives","2025-08-01T07:02:38Z","73","False"
"aces-GriffinMod","https://github.aexp.com/amex-archives/aces-GriffinMod",,"1","3","Java","amex-archives","2025-10-27T06:19:40Z","152","False"
"aces-GripCreateCaseMod","https://github.aexp.com/amex-archives/aces-GripCreateCaseMod",,"0","0","Java","amex-archives","2026-07-22T15:24:45Z","327","False"
"aces-gsg-customer-crisis-response","https://github.aexp.com/amex-archives/aces-gsg-customer-crisis-response",,"0","0","Java","amex-archives","2026-03-16T06:39:03Z","177","False"
"aces-gsg-kyc-aml-wcc-pon-france","https://github.aexp.com/amex-archives/aces-gsg-kyc-aml-wcc-pon-france",,"1","0","Java","amex-archives","2026-07-29T15:56:09Z","318","False"
"aces-RavenCommMod","https://github.aexp.com/amex-archives/aces-RavenCommMod",,"0","0","Java","amex-archives","2025-10-15T09:37:52Z","91","False"
"aces-ReadClicCaseMod","https://github.aexp.com/amex-archives/aces-ReadClicCaseMod",,"0","0","Java","amex-archives","2025-10-30T06:26:11Z","113","False"
"aces-ReadEmailAndTranslateMod","https://github.aexp.com/amex-archives/aces-ReadEmailAndTranslateMod","A mod to read email from a shared mailbox and translate the content in its body.","0","0","Java","amex-archives","2025-10-30T06:26:50Z","62","False"
"aces-ReadSettlementRollingVolume","https://github.aexp.com/amex-archives/aces-ReadSettlementRollingVolume",,"0","0","Java","amex-archives","2026-03-20T06:42:49Z","375","False"
"aces-ReadWorkbasketCasesMod","https://github.aexp.com/amex-archives/aces-ReadWorkbasketCasesMod",,"0","0","Java","amex-archives","2026-02-08T16:23:26Z","173","False"
"aces-S3Mod","https://github.aexp.com/amex-archives/aces-S3Mod",,"0","0","Java","amex-archives","2025-09-03T09:25:54Z","94","False"
"aces-UpdateCaseMod","https://github.aexp.com/amex-archives/aces-UpdateCaseMod",,"0","0","Java","amex-archives","2025-08-25T11:07:43Z","145","False"
"ace_500001355-cegec-bundles","https://github.aexp.com/amex-archives/ace_500001355-cegec-bundles",,"1","16","Java","amex-archives","2026-07-21T16:34:16Z","2637","False"
"acl_1.1.0","https://github.aexp.com/amex-archives/acl_1.1.0",,"0","0",,"amex-archives","2024-10-25T22:50:26Z","101","False"
"acq-shop-lead-generation","https://github.aexp.com/amex-archives/acq-shop-lead-generation","Single page lead generation form for Card Shop","0","3","JavaScript","amex-archives","2026-04-16T07:32:23Z","3631","False"
"acq-shop-non-card","https://github.aexp.com/amex-archives/acq-shop-non-card",,"0","0","JavaScript","amex-archives","2026-07-28T16:27:59Z","19255","False"
"actions-archive-cache-dev","https://github.aexp.com/amex-archives/actions-archive-cache-dev","Archive Cache Actions Versions (DEV TESTING)","0","0","Python","amex-archives","2026-06-18T01:09:18Z","234","True"
"aexp-ace-scope","https://github.aexp.com/amex-archives/aexp-ace-scope",,"0","0","Java","amex-archives","2025-06-25T09:46:07Z","73","False"
"aigrowthhackvolunteer","https://github.aexp.com/amex-archives/aigrowthhackvolunteer",,"1","0","Python","amex-archives","2026-08-04T21:10:22Z","329","False"
"aim200003112_fin-accntng-hub","https://github.aexp.com/amex-archives/aim200003112_fin-accntng-hub",,"0","0","PLSQL","amex-archives","2026-07-14T09:25:50Z","300750","False"
"ali-metrics","https://github.aexp.com/amex-archives/ali-metrics",,"0","0","JavaScript","amex-archives","2026-08-09T05:32:59Z","2224","False"
"alpha","https://github.aexp.com/amex-archives/alpha",,"0","11","Shell","amex-archives","2026-06-23T20:14:57Z","906","False"
"amaze_amaze","https://github.aexp.com/amex-archives/amaze_amaze",,"1","1","TSQL","amex-archives","2026-08-31T15:41:14Z","36199","False"
"amaze_processcontrol","https://github.aexp.com/amex-archives/amaze_processcontrol",,"1","1","TSQL","amex-archives","2026-06-18T20:42:14Z","39823","False"
"amex-4-decomm_customer360","https://github.aexp.com/amex-archives/amex-4-decomm_customer360",,"6","32","HiveQL","amex-archives","2026-07-20T10:19:34Z","1012435","False"
"amex-cicd-workflowTest","https://github.aexp.com/amex-archives/amex-cicd-workflowTest",,"0","1","Java","amex-archives","2026-07-21T02:18:14Z","67045","False"
"amex-guardrails","https://github.aexp.com/amex-archives/amex-guardrails",,"3","0","Python","amex-archives","2026-07-23T17:21:47Z","10411","False"
"amex-mcp","https://github.aexp.com/amex-archives/amex-mcp","a monorepo of inner-source MCP servers","49","30","Python","amex-archives","2026-04-07T17:50:37Z","98256","False"
"amex-skills","https://github.aexp.com/amex-archives/amex-skills","amex-skills","46","188","Python","amex-archives","2026-07-09T18:43:25Z","29034","False"
"amex-way-game-ui","https://github.aexp.com/amex-archives/amex-way-game-ui",,"0","0","JavaScript","amex-archives","2026-07-28T10:40:05Z","10294","False"
"amexmock","https://github.aexp.com/amex-archives/amexmock","Source and Images for Amexmock","1","0","Java","amex-archives","2026-08-08T17:33:36Z","331127","False"
"amexway-game-admin","https://github.aexp.com/amex-archives/amexway-game-admin",,"0","0","JavaScript","amex-archives","2026-07-14T10:37:57Z","976","False"
"amexway-game-api","https://github.aexp.com/amex-archives/amexway-game-api","The Amex Way Game API Concept","1","0","TypeScript","amex-archives","2026-07-14T10:50:49Z","976098","False"
"amexway-game-db-scripts","https://github.aexp.com/amex-archives/amexway-game-db-scripts","Repo for modifying DB data in amexway game ","0","2","JavaScript","amex-archives","2026-07-14T10:44:13Z","1313","False"
"amexway-game-src","https://github.aexp.com/amex-archives/amexway-game-src","The Amex Way Game Unity WebGL Source","0","0","HTML","amex-archives","2026-06-15T12:56:14Z","105415","False"
"amp-gha-workflows","https://github.aexp.com/amex-archives/amp-gha-workflows","Reusable git action workflows","3","2","JavaScript","amex-archives","2026-07-29T17:34:27Z","9957","False"
"amp-infra-dashboard","https://github.aexp.com/amex-archives/amp-infra-dashboard",,"0","0","Java","amex-archives","2026-07-30T22:13:28Z","543","False"
"amp-jvm-bom","https://github.aexp.com/amex-archives/amp-jvm-bom","BOM for AMP version usages","0","0","Kotlin","amex-archives","2026-07-30T21:36:06Z","223","False"
"amp-jvm-gcp","https://github.aexp.com/amex-archives/amp-jvm-gcp","gcp / Lumi modules","3","0","Java","amex-archives","2026-07-30T21:42:28Z","957","False"
"amp-jvm-inbound","https://github.aexp.com/amex-archives/amp-jvm-inbound","AMP Inbound Ingestion APIs","0","2","Java","amex-archives","2026-08-11T20:38:52Z","8565","False"
"amp-mock-server-react-ui","https://github.aexp.com/amex-archives/amp-mock-server-react-ui","React UI for the Amp Mock Server","0","0","JavaScript","amex-archives","2026-07-24T00:15:58Z","3706","False"
"amp-perf-framework-test-executor","https://github.aexp.com/amex-archives/amp-perf-framework-test-executor","This repo will be used to store the performance framework backend code that will be used to execute performance tests. ","1","0","Java","amex-archives","2026-07-24T00:13:58Z","189852","False"
"amp-sre-gh-actions","https://github.aexp.com/amex-archives/amp-sre-gh-actions","CI/CD workflow helper actions","5","3","Python","amex-archives","2026-08-12T23:15:41Z","60991","False"
"amp-sre-tooling","https://github.aexp.com/amex-archives/amp-sre-tooling","Tools, frameworks, etc for Authorizations Modernization Tooling","4","2","Python","amex-archives","2026-09-01T08:46:26Z","161832","False"
"aop-spring-logger","https://github.aexp.com/amex-archives/aop-spring-logger","APO Based Auto Logger for spring application ","1","0","Java","amex-archives","2026-07-20T15:51:14Z","185","False"
"api-utility","https://github.aexp.com/amex-archives/api-utility","Utility classes for use in connecting a Salesforce org to external or internal APIs","1","0","Apex","amex-archives","2026-08-09T02:17:20Z","155","False"
"apigee-gha-poc","https://github.aexp.com/amex-archives/apigee-gha-poc",,"0","0",,"amex-archives","2025-09-23T09:03:44Z","86","False"
"application-experience-audit-ui","https://github.aexp.com/amex-archives/application-experience-audit-ui",,"0","0","JavaScript","amex-archives","2026-06-29T19:13:16Z","757","False"
"apply-experience-terms-and-conditions","https://github.aexp.com/amex-archives/apply-experience-terms-and-conditions",,"0","1","JavaScript","amex-archives","2026-07-24T16:42:51Z","941","False"
"apply-experience-validations","https://github.aexp.com/amex-archives/apply-experience-validations",,"0","0","JavaScript","amex-archives","2026-06-30T12:39:53Z","315","False"
"apply-us_transient-components","https://github.aexp.com/amex-archives/apply-us_transient-components",,"3","2","JavaScript","amex-archives","2026-01-05T18:49:33Z","31537","False"
"aqx-components","https://github.aexp.com/amex-archives/aqx-components",,"5","0","TypeScript","amex-archives","2026-07-21T16:50:13Z","366942","False"
"arcade-passport-stamps-core","https://github.aexp.com/amex-archives/arcade-passport-stamps-core","The core code repository for arcade passport stamps","0","0","HTML","amex-archives","2026-07-16T05:20:25Z","38892","False"
"architecture-governance","https://github.aexp.com/amex-archives/architecture-governance","Architecture Governance UI in the architecture portal. ","3","2","JavaScript","amex-archives","2026-08-01T21:20:59Z","8571","False"
"architecture-markdown","https://github.aexp.com/amex-archives/architecture-markdown",,"1","0","JavaScript","amex-archives","2026-07-20T18:13:26Z","5961","False"
"ARISE","https://github.aexp.com/amex-archives/ARISE",,"0","0",,"amex-archives","2026-02-08T09:03:51Z","43705","False"
"arms-documentation","https://github.aexp.com/amex-archives/arms-documentation","arms-documentation","2","1","MDX","amex-archives","2026-07-21T17:21:16Z","543763","False"
"ar_upem_gcstatus_alert","https://github.aexp.com/amex-archives/ar_upem_gcstatus_alert",,"0","1","Shell","amex-archives","2026-06-17T13:49:54Z","31","False"
"askamex-platform-api-automation","https://github.aexp.com/amex-archives/askamex-platform-api-automation","Askamex CMM QA automation","0","0","Gherkin","amex-archives","2026-07-15T14:25:45Z","491892","False"
"askamex-swagger-mobile","https://github.aexp.com/amex-archives/askamex-swagger-mobile",,"0","2","HTML","amex-archives","2026-07-13T21:31:12Z","1342","False"
"asset-management-database-portal","https://github.aexp.com/amex-archives/asset-management-database-portal",,"0","0","JavaScript","amex-archives","2026-07-07T16:58:28Z","2255","False"
"assisted-acquisitions-account-summary","https://github.aexp.com/amex-archives/assisted-acquisitions-account-summary","AAP account summary","1","2","JavaScript","amex-archives","2026-07-16T13:02:59Z","1265","False"
"assisted-acquisitions-additional-cards","https://github.aexp.com/amex-archives/assisted-acquisitions-additional-cards","AAP additional cards","1","2","JavaScript","amex-archives","2026-07-28T13:56:06Z","1132","False"
"assisted-acquisitions-customer-identification","https://github.aexp.com/amex-archives/assisted-acquisitions-customer-identification","Assisted Acquisitions Customer Identification","1","2","JavaScript","amex-archives","2026-07-24T05:45:57Z","1354","False"
"at-work-global-modules","https://github.aexp.com/amex-archives/at-work-global-modules","A monorepo for At Work global holocrons","0","1","JavaScript","amex-archives","2026-07-24T23:25:26Z","83448","False"
"at-work-loyalty-hub","https://github.aexp.com/amex-archives/at-work-loyalty-hub",,"1","0","JavaScript","amex-archives","2026-07-21T01:07:14Z","133270","False"
"atwork-core","https://github.aexp.com/amex-archives/atwork-core","atwork-core repo","2","0","JavaScript","amex-archives","2026-07-08T14:30:44Z","26405","False"
"atwork-design-library","https://github.aexp.com/amex-archives/atwork-design-library","The @americanexpress/atwork-design-library has moved! It now lives in the atwork-core monorepo.","1","2","TypeScript","amex-archives","2025-07-26T04:19:54Z","4403","False"
"atworkreporting-docs","https://github.aexp.com/amex-archives/atworkreporting-docs",,"0","0","JavaScript","amex-archives","2026-04-16T05:45:13Z","3280","False"
"audience-intelligence-root","https://github.aexp.com/amex-archives/audience-intelligence-root","Audience Intelligence is a next-generation audience builder and segmentation platform designed for the Marketing organization. ","0","0","TypeScript","amex-archives","2026-06-06T05:37:48Z","1681","False"
"auth-finance-sre-documentation","https://github.aexp.com/amex-archives/auth-finance-sre-documentation","A repository for the upload of templates, examples, and documentation around observability for Amex applications.","1","1","CSS","amex-archives","2026-07-09T07:08:24Z","8423","False"
"auth-sre-jvm","https://github.aexp.com/amex-archives/auth-sre-jvm",,"1","1","Kotlin","amex-archives","2026-07-30T22:34:44Z","63334","False"
"authblue-intranet-identity-convert-token","https://github.aexp.com/amex-archives/authblue-intranet-identity-convert-token",,"1","0","JavaScript","amex-archives","2026-07-29T16:10:29Z","1069","False"
"authblue-intranet-identity-root","https://github.aexp.com/amex-archives/authblue-intranet-identity-root","AuthBlue tenancy root for identity.aexp.com under One App v6","1","0","JavaScript","amex-archives","2026-08-12T19:53:42Z","918","False"
"Auth_Midrange_Infra.ansible","https://github.aexp.com/amex-archives/Auth_Midrange_Infra.ansible",,"1","0","Shell","amex-archives","2026-03-03T22:10:14Z","1986800","False"
"automated-pcn-remediation-report","https://github.aexp.com/amex-archives/automated-pcn-remediation-report","It fetches the list of PCNs that needs to be remediated, and it sends an alert that provides result of PRE and POST run","0","0","Java","amex-archives","2026-07-22T19:29:09Z","52898","False"
"axp-accept-root","https://github.aexp.com/amex-archives/axp-accept-root",,"1","1","JavaScript","amex-archives","2026-07-24T21:11:02Z","4357","False"
"axp-account-management","https://github.aexp.com/amex-archives/axp-account-management",,"0","1","JavaScript","amex-archives","2026-07-27T14:18:55Z","13121","False"
"axp-account-management-container","https://github.aexp.com/amex-archives/axp-account-management-container",,"0","0","JavaScript","amex-archives","2026-07-06T15:30:59Z","7002","False"
"axp-account-servicing","https://github.aexp.com/amex-archives/axp-account-servicing",,"0","0","JavaScript","amex-archives","2026-06-22T10:25:06Z","6760","False"
"axp-account-switcher","https://github.aexp.com/amex-archives/axp-account-switcher",,"0","1","JavaScript","amex-archives","2026-07-20T13:56:15Z","24403","False"
"axp-acq-commercial-assisted-components","https://github.aexp.com/amex-archives/axp-acq-commercial-assisted-components","Library of UI components shared b/w assisted commercial teams","5","0","JavaScript","amex-archives","2026-07-13T16:43:20Z","22718","False"
"axp-acq-servicing-app-capture-journey-selection","https://github.aexp.com/amex-archives/axp-acq-servicing-app-capture-journey-selection","Module to select the journey for the application capture","0","0","JavaScript","amex-archives","2026-07-25T20:48:55Z","2596","False"
"axp-activity","https://github.aexp.com/amex-archives/axp-activity","Wrapper component for the views within /activity/*","0","0","JavaScript","amex-archives","2026-07-29T16:37:35Z","14898","False"
"axp-activity-disclaimers","https://github.aexp.com/amex-archives/axp-activity-disclaimers","axp-activity-disclaimers is a module that renders disclaimers for the activity components.","0","0","JavaScript","amex-archives","2026-07-27T20:27:18Z","1127","False"
"axp-activity-interest-table","https://github.aexp.com/amex-archives/axp-activity-interest-table",,"0","0","JavaScript","amex-archives","2026-07-28T21:47:57Z","5482","False"
"axp-activity-marketing-placement","https://github.aexp.com/amex-archives/axp-activity-marketing-placement",,"0","0","JavaScript","amex-archives","2026-07-06T17:08:45Z","3150","False"
"axp-activity-navigation","https://github.aexp.com/amex-archives/axp-activity-navigation",,"0","0","JavaScript","amex-archives","2026-07-14T21:48:06Z","8332","False"
"axp-activity-search","https://github.aexp.com/amex-archives/axp-activity-search",,"0","0","JavaScript","amex-archives","2026-07-13T22:56:26Z","9488","False"
"axp-activity-statement-bookend","https://github.aexp.com/amex-archives/axp-activity-statement-bookend",,"0","0","JavaScript","amex-archives","2026-07-28T20:10:54Z","5949","False"
"axp-activity-transaction-details-digital-receipts","https://github.aexp.com/amex-archives/axp-activity-transaction-details-digital-receipts",,"0","0","JavaScript","amex-archives","2026-05-12T21:13:39Z","4651","False"
"axp-activity-transaction-details-line-items","https://github.aexp.com/amex-archives/axp-activity-transaction-details-line-items","axp-activity-transaction-details-line-items ","0","0","JavaScript","amex-archives","2026-07-28T21:16:42Z","2735","False"
"axp-activity-transaction-details-merchant","https://github.aexp.com/amex-archives/axp-activity-transaction-details-merchant","Module to hold merchant view for axp-activity-transaction-details","0","0","JavaScript","amex-archives","2026-07-28T21:18:06Z","5253","False"
"axp-activity-transaction-details-plan-it","https://github.aexp.com/amex-archives/axp-activity-transaction-details-plan-it",,"0","0","JavaScript","amex-archives","2026-07-29T17:04:25Z","15229","False"
"axp-activity-transaction-printer-view","https://github.aexp.com/amex-archives/axp-activity-transaction-printer-view",,"0","0","JavaScript","amex-archives","2026-07-28T21:15:43Z","10287","False"
"axp-activity-transaction-travel-details","https://github.aexp.com/amex-archives/axp-activity-transaction-travel-details","holocron module to show ROC travel details on transaction extended details module","0","0","JavaScript","amex-archives","2026-05-12T21:26:26Z","2661","False"
"axp-activity-vitals","https://github.aexp.com/amex-archives/axp-activity-vitals",,"0","0","JavaScript","amex-archives","2026-07-13T22:56:30Z","9822","False"
"axp-aida-admin","https://github.aexp.com/amex-archives/axp-aida-admin",,"0","1","JavaScript","amex-archives","2026-07-29T16:11:36Z","759","False"
"axp-aida-admin-cluster-management","https://github.aexp.com/amex-archives/axp-aida-admin-cluster-management","This repo will be used to allow for viewing, and managing of all AiDa clusters.","0","0","JavaScript","amex-archives","2026-03-20T06:53:00Z","1987","False"
"axp-aida-admin-use-case-budget-requests","https://github.aexp.com/amex-archives/axp-aida-admin-use-case-budget-requests","This module will be used by admins to action on AWS budget requests.","0","0","JavaScript","amex-archives","2026-03-20T06:53:07Z","863","False"
"axp-aida-cluster-details","https://github.aexp.com/amex-archives/axp-aida-cluster-details","This is a reusable AiDa UI component which is used to display cluster detail information.","0","0","JavaScript","amex-archives","2026-07-29T16:08:03Z","1142","False"
"axp-aida-cosmos-monitoring-dashboard","https://github.aexp.com/amex-archives/axp-aida-cosmos-monitoring-dashboard",,"0","0","JavaScript","amex-archives","2026-03-20T06:53:21Z","1061","False"
"axp-aida-data-management-actions","https://github.aexp.com/amex-archives/axp-aida-data-management-actions","This module will be used by users to view and / or action AWS Data Management requests.","0","0","JavaScript","amex-archives","2026-03-20T06:53:29Z","1056","False"
"axp-aida-develop","https://github.aexp.com/amex-archives/axp-aida-develop","AiDa Develop Home page holocron module.","1","5","JavaScript","amex-archives","2026-07-30T05:18:59Z","8894","False"
"axp-aida-develop-cluster-creation","https://github.aexp.com/amex-archives/axp-aida-develop-cluster-creation",,"0","2","JavaScript","amex-archives","2026-07-29T17:11:00Z","5444","False"
"axp-aida-develop-environments","https://github.aexp.com/amex-archives/axp-aida-develop-environments",,"0","1","JavaScript","amex-archives","2026-07-29T16:18:30Z","1801","False"
"axp-aida-generative-ai-dashboard","https://github.aexp.com/amex-archives/axp-aida-generative-ai-dashboard","This repo will be used to host and manage the Gen AI dashboard for AiDa.","0","1","JavaScript","amex-archives","2026-03-20T06:54:08Z","1155","False"
"axp-aida-govern","https://github.aexp.com/amex-archives/axp-aida-govern","One App AiDa governance module","0","2","JavaScript","amex-archives","2026-06-24T10:26:17Z","4083","False"
"axp-aida-govern-activity-log","https://github.aexp.com/amex-archives/axp-aida-govern-activity-log",,"0","0","JavaScript","amex-archives","2026-06-26T14:20:39Z","2454","False"
"axp-aida-govern-commons","https://github.aexp.com/amex-archives/axp-aida-govern-commons",,"1","0","JavaScript","amex-archives","2026-07-31T05:40:54Z","2870","False"
"axp-aida-govern-initiate-workflow","https://github.aexp.com/amex-archives/axp-aida-govern-initiate-workflow",,"0","0","JavaScript","amex-archives","2026-04-16T06:26:19Z","1793","False"
"axp-aida-govern-persona-listing","https://github.aexp.com/amex-archives/axp-aida-govern-persona-listing",,"0","1","JavaScript","amex-archives","2026-07-23T05:00:13Z","2764","False"
"axp-aida-governance-machine-learning-store-workflows","https://github.aexp.com/amex-archives/axp-aida-governance-machine-learning-store-workflows","Machine Learning store workflow modules highlights the details of Self Served workflows","0","0","JavaScript","amex-archives","2026-07-23T05:14:59Z","489","False"
"axp-aida-root","https://github.aexp.com/amex-archives/axp-aida-root","AiDa application one app holocron root module repository","1","5","JavaScript","amex-archives","2026-03-26T18:59:09Z","4687","False"
"axp-aida-universal-modeling-automation-suite","https://github.aexp.com/amex-archives/axp-aida-universal-modeling-automation-suite","AIDA UMAS Monorepo","0","0","JavaScript","amex-archives","2026-07-31T13:48:08Z","3799","False"
"axp-aida-user-modeling","https://github.aexp.com/amex-archives/axp-aida-user-modeling",,"0","0","JavaScript","amex-archives","2026-03-20T06:55:54Z","1903","False"
"axp-alerts","https://github.aexp.com/amex-archives/axp-alerts",,"0","0","JavaScript","amex-archives","2026-07-13T21:53:19Z","7050","False"
